time,system|rainfall,link|P1|flow,link|P2|flow,link|42722|flow,link|20945|flow,link|21854|flow,link|325|flow,link|12660|flow,link|21823|flow,link|20648|flow,link|20647|flow,link|21822|flow,link|21792|flow,link|21796|flow,link|21788|flow,node|J03260054|depth,node|J03262001|depth,node|J03260051|depth,node|J03262031|depth,node|J03260048|depth,node|J03260041|depth,node|J03261014|depth,node|J03260033|depth,node|J03260038|depth,node|J03261009|depth,node|J03235003|depth,node|J03263052|depth,node|J03260029|depth,node|J03260026|depth,node|J03263039|depth,node|J03411080|depth,node|J03263058|depth,node|J03235002|depth,node|J03190142|depth,node|J03190161|depth,node|J03411020|depth,node|J03190164|depth,node|J03380238|depth,node|J03260559|depth,pump|P1|status,pump|P2|status
2026-05-11 07:30:00,0.0,4.0,57.75,-47.5509,37.299564,25.534435,25.502687,22.883482,22.995155,22.65461,22.62554,22.899652,22.733273,22.81757,22.784267,1.9224222,1.8523446,1.8230326,1.7533536,1.7229041,1.5924668,1.382194,1.3827839,1.3728017,1.3622296,1.3171592,1.3128389,1.2926459,1.2825104,1.262821,1.2329134,1.2228622,1.2171553,1.0999789,1.091739,1.0729346,1.071743,1.061712,1.0528404,1,1
2026-05-11 07:40:00,0.0,4.0,57.75,-49.037907,37.290646,25.530712,25.534044,23.012732,22.43868,22.814774,22.86396,22.63404,22.908434,22.913343,22.855913,1.9204203,1.8527117,1.8224885,1.7527397,1.724098,1.5926262,1.382449,1.3824323,1.3723819,1.3624787,1.3171564,1.3128254,1.2925233,1.2825252,1.2628374,1.2329165,1.2228439,1.2171614,1.0999786,1.0917077,1.0728891,1.0717077,1.0617049,1.0528412,1,1
2026-05-11 07:50:00,0.0,2.0,57.75,-48.310318,37.281387,25.521791,25.536442,22.829472,22.850704,22.906271,22.944233,22.87242,22.84303,22.736816,22.811707,1.9212097,1.8525946,1.8212563,1.752786,1.7218477,1.5924048,1.3828697,1.382573,1.3725237,1.3628877,1.3171577,1.3128475,1.292599,1.2827507,1.2628298,1.2328643,1.2228521,1.2171649,1.0999788,1.0916485,1.0728779,1.0716428,1.0616881,1.0528374,1,1
2026-05-11 08:00:00,0.0,2.0,57.75,-47.57471,37.285828,25.519508,25.519552,22.86575,22.924936,22.849884,22.648481,22.964159,22.673391,22.749905,22.765282,1.9221685,1.8523328,1.8230544,1.7532086,1.7231414,1.5924667,1.3822573,1.3827814,1.3727846,1.3622812,1.3171545,1.3128418,1.2926941,1.2824907,1.2628528,1.2327951,1.222801,1.2171516,1.0999788,1.091684,1.072811,1.0716779,1.061709,1.0528384,1,1
2026-05-11 08:10:00,0.0,2.0,57.75,-49.253525,37.27857,25.506945,25.517883,23.058012,22.783411,22.652637,22.80546,22.527328,22.868597,22.907654,22.825224,1.9203042,1.8527088,1.8226666,1.7527429,1.724081,1.5926332,1.3825827,1.3823837,1.3723769,1.3625662,1.3171521,1.312825,1.2924161,1.2824734,1.262847,1.2328187,1.2228124,1.2171551,1.0999784,1.0917037,1.0727829,1.0717002,1.061679,1.0528355,1,1
2026-05-11 08:20:00,0.0,2.0,57.75,-48.33113,37.26736,25.499853,25.535473,22.80557,22.833384,22.868761,22.91593,22.851955,22.912737,22.810112,22.842337,1.9210727,1.8525712,1.8212184,1.752919,1.7217475,1.5923985,1.382985,1.3825697,1.3725291,1.3629633,1.3171538,1.3128402,1.2926179,1.2827455,1.2628324,1.2327976,1.2228354,1.2171586,1.0999781,1.0917118,1.0728282,1.0717134,1.0617056,1.0528332,1,1
2026-05-11 08:30:00,0.0,4.0,57.75,-47.727013,37.27444,25.509443,25.534014,22.854856,22.874199,22.94844,22.792427,22.919155,22.682539,22.706337,22.763802,1.9217677,1.852322,1.8231839,1.753002,1.7234061,1.5924628,1.3823199,1.3827409,1.3727722,1.362283,1.3171508,1.312828,1.2926899,1.2825317,1.2628533,1.2328176,1.222773,1.21715,1.0999784,1.0916495,1.0728003,1.0716407,1.0616857,1.0528344,1,1
2026-05-11 08:40:00,0.0,2.0,57.75,-49.364063,37.279224,25.51722,25.531185,22.898819,22.992893,22.570545,22.687777,22.739918,22.78334,22.850325,22.792933,1.9203539,1.8527051,1.8227005,1.7528368,1.7239827,1.5926358,1.3825432,1.382331,1.3723673,1.3625237,1.3171493,1.3128325,1.2923659,1.2824508,1.2628225,1.232918,1.2228737,1.2171466,1.0999782,1.0916247,1.0729086,1.071618,1.0616908,1.0528347,1,1
2026-05-11 08:50:00,0.0,2.0,57.75,-48.41986,37.276432,25.514828,25.514719,22.118578,22.436176,22.846844,22.874445,22.785116,22.916374,22.882288,22.853207,1.9207894,1.8525419,1.8213031,1.7529734,1.7217383,1.5923967,1.3828213,1.382647,1.3725245,1.3628255,1.3171494,1.312829,1.2926866,1.2827476,1.2628103,1.2328846,1.2227998,1.2171559,1.0999784,1.0917214,1.0728707,1.0717503,1.0616894,1.0528384,1,1
2026-05-11 09:00:00,0.0,2.0,57.75,-47.84298,37.27238,25.51102,25.52965,22.835602,22.850449,22.927643,22.91631,22.876255,22.768574,22.70734,22.785398,1.9216329,1.852316,1.8231694,1.7528237,1.7236063,1.5924612,1.3822206,1.3827598,1.3727612,1.362244,1.3171477,1.3128247,1.2926725,1.2824771,1.2628239,1.2329077,1.2228568,1.2171494,1.099978,1.0917124,1.0729526,1.0717145,1.0616946,1.0528342,1,1
