time,rain,water_1,water_2,water_3,flow_1,flow_2,flow_3,storage_1,storage_2,storage_3
2026-05-11 19:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 20:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 20:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 20:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 20:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 20:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 20:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 21:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 21:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 21:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 21:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 21:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 21:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 22:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 22:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 22:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 22:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 22:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 22:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 23:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 23:10:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 23:20:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 23:30:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 23:40:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11 23:50:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 00:00:00,0.0,0.02246806,0.013798817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
